source,target,weight
SARCAR,PEVQIS,0.8008663637154914
DOTSOV16,KOJZOZ,0.8120758073215574
ATAFIK,VOSWIL,0.8102796582126042
XAPFOM,BIKMUG,0.8127230895203166
DOYHOQ,SUVMAZ,0.8175493457576208
BAHGUN03,DOTSOV07,0.8123293903369218
GUGNON,MOFTIL01,0.8165643738501857
PARNIH,VOJPUG01,0.8121362574531954
KOGYIP,KEJKAO,0.8015088566784758
LARPEC,PEJNOJ,0.8144690638820572
ERIRIG,FECWOB,0.8166778917409301
BAZFUF,KAKTIA,0.8109340923693009
ASOSUY,GIKMOD01,0.8055154126157573
KEJKAO,RORJOZ,0.8091426601304357
SACBUW,VAJNAW,0.8176225009845675
KOHLIE,JODGOA,0.8114304546267717
PUDSIR01,PIBGAK,0.8184566983011806
EDOSOI,TISPAO,0.8133833418781564
WEYQAU,LUFNEG,0.8162225752884464
WOHYUN,YAQCEY,0.8140216650475636
OKELOH,AZIMIH,0.8076426013199963
OSADIX,UKIQIP,0.8159084385558659
NABMUA01,VALWOX,0.8076051123764297
BIKNIV,WUPTUY01,0.8076654010156904
LEBQUH,IDIWUN,0.8097074933198897
CAQKAJ,AVUCEA,0.8055513564958829
MITSUE,HAZNED,0.8059371396920367
EGOZAB,IXAKAU,0.8022276490755051
KEPKUO,ACIBOE,0.8091600076284449
LAYWOA,NAYZOE,0.8075386709359685
YEKYAQ,DOTSOV38,0.8060801721443567
JEDVEW,WEBLAQ,0.8146550231945683
KUHNEI,EJINIV,0.8183449574951818
OKIWEL01,VOQBUZ,0.8190931650324853
DOTSOV42,POFDEV,0.8141665759029579
QEDZEG,PICCUC,0.8119357000958571
QUDGED,MIMVEJ,0.8138396574112314
VEFMAW,BOWDOI,0.8144073255288777
TALKAT,QONLAI,0.8087952116555658
DIBQIQ,POSGUB,0.8175118339392786
DOTSOV11,QIWQES,0.8142379327364957
HERYOT,GAZBUH,0.8081088814889601
DORNAB,RILFEA,0.815193499855225
YIMCEF,QIYDAF01,0.8184863348574325
DOTSOV05,CIRTUU,0.8158607389071972
DEMNOB,FIKPUN,0.8187678096780299
FERHAN,EGIKUB01,0.805131261427304
PENNAZ,MIFGEP01,0.8191700429961011
LEDLEN,DOTSOV03,0.8028435813424498
ODODIW,IJEXIF01,0.8058886667940044
YOZMOR,UYICOW,0.801371379040325
WEYQEY,YAQCEY,0.8150315198390422
LAPNOI,FAHQIQ,0.8019903889322475
WAWGOQ,FEHCOM,0.8036270929043487
ERIQUS,FOBDOS,0.8092251917620992
CAJQEL,LASYOU,0.8116390554434602
XOJXIE,YOCGAZ,0.8149009997465042
XEBHOC,DOTSOV06,0.8002541619292726
FIVRUA,VASYAS,0.81296029103667
NOMPIQ01,QIQTOB,0.819134154783913
MUVJIX,GUPJEG01,0.8149253975873687
BEFKEF,ECIWOC,0.8039017070494121
UFOFUT,WEHJEA,0.8141069466456281
EHUSUX,UXOHOG,0.8040139253100071
HOYRAQ,RORJOZ,0.8063256361366562
BABREE,YABHER,0.8099174184012956
IPUPOA,EDOSIC,0.8034461197638555
FUDHET,DEGMAG01,0.8164288287251389
FAHQIR,XAFFIV,0.8062745348194534
USEVOF,UFUNIS,0.8165055426979624
ECIWIW,HAWFIV,0.809078348267887
HAWFIV,HIZQEN01,0.8149218281818624
PIKYIU,POSGEL,0.8163876208051297
OLUHAG,ORAWAH,0.8038975776862763
PIQQEN,AJAKON,0.8080147993770419
PURJAO,OBUZIV,0.8116869124078534
XAPFOM,VIKSIU,0.8170729513922661
QUNXEE,WEBLAQ,0.800932713033283
