source,target,weight
POHLOP,NUCYAN,0.8033984200388729
UVIROH,NEHZOS,0.8032798043465972
TANKIE,HISJIE,0.8087367201555314
VEHJUP,FUGXAI,0.815513212306418
QAMKOH,TIRFOQ,0.8033838870335633
DUNXUH06,KEFBOO,0.817856986799244
KEDQAN,QIWCUW,0.8034319039271677
HIQNUS,REBVIG,0.8062480022104994
RUGYOJ,YEYRAY,0.8059627912023852
POFDIZ,DOTSOV29,0.8132049991921934
JOPGOM,FUVYOL,0.809536561739767
BEXSAA,ABAYIO,0.8083077405706086
QERZUI,BAZGAM,0.8137693511627602
ULISOZ,EWUHOU,0.813536657892295
PUDSIR01,OPENUT,0.812646386274318
UFUKUB02,CANYIB,0.8013611549795655
KEPKUO,ULISOZ,0.8131194882188877
FENHIS,FOKWUZ,0.8098457642740371
WOHYOH,LIJPAX02,0.8174822027730699
FIJCUX,POXDIQ,0.809621867078958
VEMTAJ01,KEJWAY,0.814064424012877
YICQOS,MIMRAB01,0.802491565040018
KAKTIA01,XOPLOE,0.8141528375709256
RUPVAB,CUQXAP,0.8000062057270739
EGUHOD01,IVOLUC,0.8058548454400892
KULLAG,XIHSAJ01,0.8127322446830189
NEHZOS,UVIROH,0.8032798043465972
QIZLOC,XUGROI,0.8061738128501221
VEXTUO,XUJQAV,0.8005489577990464
CIKCOQ,HIZQEN01,0.800814456214261
NIWYOJ,KEPKUO,0.8100369110084332
NEVVAM,BUKLOJ01,0.8029102182156074
DOTSOV20,AMAFOK,0.8099816084772105
YOZNEI,AMAFUQ,0.8082716017185663
NUWVIM,VUSKAW,0.818902938450144
DOTSOV28,UGEPEB,0.80977178807265
RAKBIO01,JEDVUM,0.8147267391856363
DEYVUA,UDITEJ,0.8086572062476517
DOTSOV30,BEXSII,0.8092266766725034
CEXJUN01,WIFSAI,0.801508018003791
JUXZOT,PEXTUI,0.8073652147370889
RACHUA,HOLRAD,0.8199558492276378
KUJMIN,HAZNED,0.8050669774436913
YERFUZ,GUTZEB,0.8075983740218613
GOYLUB,AMAFIE,0.8136687943434796
XUCHOS01,FEVDIV,0.801699338612675
XUNTEH01,POFHAV,0.8144110983018282
FAHQEM,LAPMUN,0.8018385021988113
AXUKUB,XEFGUN01,0.814525238305009
MEWPIQ,XEGXAL,0.8023217340638361
QUYCET,NOCMUO,0.8085828186576562
LAVTEJ,VUKTUS,0.8041832866960706
DOTSOV21,JOFCEO,0.805370774182532
EKERIW,QONLAI,0.8154335027669977
POFDUL,QOWRAV06,0.8052044735342156
LIXMIQ,INOVEN,0.8020826941142153
EVUDAA,IYAZAL,0.8140525092184031
POMXIA,PERQUB,0.80559812612751
BAHGUN,IDUDES,0.8030303532322387
