source,target,weight
HERJAS,BIKMEQ01,0.8146527950680029
GERWEH,UVEVUN,0.8046258665600271
DEPXOM,MEFZUU,0.8110696583795374
RUGXOI,FECXUI,0.8021399061903227
WOLROF,QONKOV,0.8126866656558749
KANMIX,QERZUI01,0.8180606289043445
HEMZUX,PEKZIP,0.8056275837162137
YEKYAQ,XAMDUM,0.8061792936034136
VUNJAR,MOLQEL,0.8191387232614937
AHIZUN,IJEYEC,0.8043967374689424
DUVNIS,FUVYOL,0.8062499428024107
LUTBUY,HIDTUM,0.8003632920844335
KEQDER,SAHYIK,0.8174666803389681
YEXCOW,XOMHIS,0.8052778096116388
RUBDUO,VEGMOK01,0.813930362640293
XEGWUE,MEWPIQ,0.8023392825294362
UPIBOM,XULQEA,0.8007238510897287
ODEZAB,QIZLOC,0.8195813430354515
DAPYAW,RIGHAR,0.813976769534402
HALVEY,IGAHED02,0.8064960321012774
LUPCOQ,VIWZOR,0.8076738607000613
MOHLIF,MIBQAR12,0.8061793025470523
GAXKUN,LARBOW,0.8045658415114371
OKIVIO01,VOQBUZ,0.8191047503567165
TEJBUI,CEKHUY,0.8184044455662811
XAMDUM01,YAVYAW,0.8061824614589117
BIKNIV,OFOJEB,0.8117450915421689
DOTSOV32,BAHGUN,0.8121225476870026
BODPAN,EDOSIC,0.8161905915827685
SEFVEG,YESYUT,0.8074585101010121
KUJMIN,NOZZUZ,0.805759457221503
AWEJES,NUFBEX,0.8154230279162801
BUXNOZ,WULKAQ,0.809270518952426
QIWQES,MOBDIR,0.8002606430571516
WIYZIO,VAMPOR,0.8147244901478254
NEMCOA,QOWRAV07,0.8173754700062651
XEDGIY,YICRAF01,0.802765682820564
HIBSUG,PATPEH,0.8038797734732545
GOSDUP,REDYEG,0.8050111335442541
LAPNUO,FEYDET,0.8048274206760461
KIYCON,QIZLIW,0.8070546737366429
RAGMOE,JIYPEP,0.8160754700804888
HEBJEF,NEDWAW,0.8091544463169013
OXALEF,ONOCOK,0.8144614614552808
DIQHAO01,FIFNOY02,0.8068279902173036
DOTSOV21,KAKTIA01,0.8138602720530563
XAMDUM06,UFUMUD01,0.8116028725560911
HAZPIJ02,PUNDUY,0.8034138659101127
PELRIJ,ICAREL,0.815606033546119
QAVBUL,UVOTOQ,0.8196062691097754
QIYDIN01,QAWHIH01,0.8149260315753896
DOTSOV18,GOXZIE,0.8057284078876694
RUWWUC,LESWAI,0.8181322720800829
OGEBAF01,QOWRAV08,0.8043693251385788
DEGMAG01,FUDHAP,0.812124615731341
AMAFOK,DOTSOV24,0.80999781432948
OFODAP,GIYTOY,0.804647761969832
VODNOS,DUVNIS01,0.8149869508790775
FEXCAO01,ABAVUV,0.8103562953981703
DOTSOV29,JOFCEO,0.8053682003147296
