Redundancy_Level,Threshold,Method,Model,Accuracy_Mean,Accuracy_Std,Cohen_Kappa_Mean,Cohen_Kappa_Std,Num_Edges_Mean,Num_Edges_Std,Num_Nodes_Mean,Num_Nodes_Std,Modularity_Mean,Modularity_Std,Num_Communities_Mean,Num_Communities_Std,Avg_Community_Size_Mean,Avg_Community_Size_Std,Avg_Clustering_Mean,Avg_Clustering_Std,Graph_Density_Mean,Graph_Density_Std,Avg_Degree_Mean,Avg_Degree_Std,Nodes_Removed_Mean,Nodes_Removed_Std,Edges_Removed_Mean,Edges_Removed_Std,Percent_Nodes_Retained_Mean,Percent_Nodes_Retained_Std,Percent_Edges_Retained_Mean,Percent_Edges_Retained_Std
0.0,0.0,blackhole,GAT,0.5282846715328468,,0.06786929850679979,,280335.0,,11673.0,,0.8292876137393385,,911.0,,12.813391877058178,,0.5765699479473501,,0.004115092050000625,,48.031354407607296,,888.0,,134315.0,,0.9293049916407929,,0.6760762088508381,
0.0,0.0,blackhole,GCN,0.5237226277372263,,0.15465836857363224,,280335.0,,11673.0,,0.8292876137393385,,911.0,,12.813391877058178,,0.5765699479473501,,0.004115092050000625,,48.031354407607296,,888.0,,134315.0,,0.9293049916407929,,0.6760762088508381,
0.0,0.0,blackhole,GraphSAGE,0.5355839416058394,,0.17263758624167258,,280335.0,,11673.0,,0.8292876137393385,,911.0,,12.813391877058178,,0.5765699479473501,,0.004115092050000625,,48.031354407607296,,888.0,,134315.0,,0.9293049916407929,,0.6760762088508381,
0.0,0.0,kcenter,GAT,0.509915014164306,,0.10366348872935782,,207325.0,,11634.0,,0.8614612049990786,,1333.0,,8.72768192048012,,0.759282434126821,,0.0030638033180284295,,35.64122399862472,,927.0,,207325.0,,0.9262001433006927,,0.5,
0.0,0.0,kcenter,GCN,0.47875354107648727,,0.1250409738530689,,207325.0,,11634.0,,0.8614612049990786,,1333.0,,8.72768192048012,,0.759282434126821,,0.0030638033180284295,,35.64122399862472,,927.0,,207325.0,,0.9262001433006927,,0.5,
0.0,0.0,kcenter,GraphSAGE,0.48441926345609065,,0.15614081686860226,,207325.0,,11634.0,,0.8614612049990786,,1333.0,,8.72768192048012,,0.759282434126821,,0.0030638033180284295,,35.64122399862472,,927.0,,207325.0,,0.9262001433006927,,0.5,
0.0,0.0,pagerank,GAT,0.5452812202097236,,0.08507405375754251,,311029.0,,12259.0,,0.8342546365742279,,795.0,,15.420125786163522,,0.5638835407814884,,0.004139579405508276,,50.74296435272045,,302.0,,103621.0,,0.9759573282381976,,0.7501000844085374,
0.0,0.0,pagerank,GCN,0.5252621544327931,,0.2034417770621385,,311029.0,,12259.0,,0.8342546365742279,,795.0,,15.420125786163522,,0.5638835407814884,,0.004139579405508276,,50.74296435272045,,302.0,,103621.0,,0.9759573282381976,,0.7501000844085374,
0.0,0.0,pagerank,GraphSAGE,0.5490943755958055,,0.11910244415131122,,311029.0,,12259.0,,0.8342546365742279,,795.0,,15.420125786163522,,0.5638835407814884,,0.004139579405508276,,50.74296435272045,,302.0,,103621.0,,0.9759573282381976,,0.7501000844085374,
0.0,0.0,stratified,GAT,0.4855144855144855,,0.030031459557910423,,274053.0,,12085.0,,0.8276292118421698,,783.0,,15.434227330779056,,0.5238706127824099,,0.003753247334853789,,45.35424079437319,,476.0,,140597.0,,0.9621049279515962,,0.6609260822380321,
0.0,0.0,stratified,GCN,0.5234765234765235,,0.1936607706778979,,274053.0,,12085.0,,0.8276292118421698,,783.0,,15.434227330779056,,0.5238706127824099,,0.003753247334853789,,45.35424079437319,,476.0,,140597.0,,0.9621049279515962,,0.6609260822380321,
0.0,0.0,stratified,GraphSAGE,0.4925074925074925,,0.11347359465547169,,274053.0,,12085.0,,0.8276292118421698,,783.0,,15.434227330779056,,0.5238706127824099,,0.003753247334853789,,45.35424079437319,,476.0,,140597.0,,0.9621049279515962,,0.6609260822380321,
0.0,0.1,blackhole,GAT,0.4470802919708029,,0.06753523895097435,,237922.0,,10527.0,,0.8406287194584727,,900.0,,11.696666666666667,,0.5634344613201803,,0.004294341806410742,,45.20224185427947,,2034.0,,176728.0,,0.8380702173393838,,0.5737899433256963,
