Threshold,Method,Model,Num_Edges_Mean,Num_Edges_Std,Num_Nodes_Mean,Num_Nodes_Std,Modularity_Mean,Modularity_Std,Num_Communities_Mean,Num_Communities_Std,Avg_Community_Size_Mean,Avg_Community_Size_Std,Avg_Clustering_Mean,Avg_Clustering_Std,Graph_Density_Mean,Graph_Density_Std,Avg_Degree_Mean,Avg_Degree_Std,Nodes_Removed_Mean,Nodes_Removed_Std,Edges_Removed_Mean,Edges_Removed_Std,Percent_Nodes_Retained_Mean,Percent_Nodes_Retained_Std,Percent_Edges_Retained_Mean,Percent_Edges_Retained_Std,Accuracy_Mean,Accuracy_Std,Cohen_Kappa_Mean,Cohen_Kappa_Std
0.0,blackhole,GAT,196771.5,716.6517052701868,11230.0,50.885492366030356,0.8371646796194137,0.0004500706604201199,1002.75,3.8622100754188224,11.199345360144214,0.07067590833713763,0.40985246159967736,0.0026710797221087966,0.0031209086974383735,1.7601678761675788e-05,35.04402340444717,0.051241398039144855,1331.0,50.885492366030356,217878.5,716.6517052701868,0.8940370989570894,0.004051070166868099,0.4745484143253346,0.0017283292060054978,0.781386224934612,0.02803814948715954,0.6280727432585036,0.04846168796329951
0.0,blackhole,GCN,196771.5,716.6517052701868,11230.0,50.885492366030356,0.8371646796194137,0.0004500706604201199,1002.75,3.8622100754188224,11.199345360144214,0.07067590833713763,0.40985246159967736,0.0026710797221087966,0.0031209086974383735,1.7601678761675788e-05,35.04402340444717,0.051241398039144855,1331.0,50.885492366030356,217878.5,716.6517052701868,0.8940370989570894,0.004051070166868099,0.4745484143253346,0.0017283292060054978,0.8332606800348736,0.007613011855524369,0.715972278395506,0.013292739706993996
0.0,blackhole,GraphSAGE,196771.5,716.6517052701868,11230.0,50.885492366030356,0.8371646796194137,0.0004500706604201199,1002.75,3.8622100754188224,11.199345360144214,0.07067590833713763,0.40985246159967736,0.0026710797221087966,0.0031209086974383735,1.7601678761675788e-05,35.04402340444717,0.051241398039144855,1331.0,50.885492366030356,217878.5,716.6517052701868,0.8940370989570894,0.004051070166868099,0.4745484143253346,0.0017283292060054978,0.7802964254577158,0.009088343952985706,0.6117571687271084,0.018840348793481006
0.0,kcenter,GAT,207325.0,0.0,10274.0,0.0,0.8572287114698594,0.0,1194.0,0.0,8.60469011725293,0.0,0.7668135713761306,0.0,0.003928663393579534,0.0,40.35915904224255,0.0,2287.0,0.0,207325.0,0.0,0.8179285088766818,0.0,0.5,0.0,0.7199215344376635,0.012398834048237023,0.5250922088138088,0.022673439270482133
0.0,kcenter,GCN,207325.0,0.0,10274.0,0.0,0.8572287114698594,0.0,1194.0,0.0,8.60469011725293,0.0,0.7668135713761306,0.0,0.003928663393579534,0.0,40.35915904224255,0.0,2287.0,0.0,207325.0,0.0,0.8179285088766818,0.0,0.5,0.0,0.7545771578029643,0.007550352256185157,0.5825879368457639,0.01218617388319383
0.0,kcenter,GraphSAGE,207325.0,0.0,10274.0,0.0,0.8572287114698594,0.0,1194.0,0.0,8.60469011725293,0.0,0.7668135713761306,0.0,0.003928663393579534,0.0,40.35915904224255,0.0,2287.0,0.0,207325.0,0.0,0.8179285088766818,0.0,0.5,0.0,0.7521795989537925,0.0025041685468779637,0.5696619841348843,0.006227648319901528
0.0,pagerank,GAT,297632.5,81.81890572070328,10653.25,40.680666988960084,0.8374602673906525,0.00021197471797525537,883.75,1.707825127659933,12.054606206320022,0.043359469129918365,0.6244676663241178,0.0019063665623294047,0.005245676699039613,4.0908347803175856e-05,55.877012110951725,0.2225737680982281,1907.75,40.680666988960084,117017.5,81.81890572070328,0.8481211686967598,0.003238648753201204,0.7177921138309418,0.00019732040448738617,0.7266782911944202,0.009669168706547009,0.5298096453129928,0.022820178050481088
0.0,pagerank,GCN,297632.5,81.81890572070328,10653.25,40.680666988960084,0.8374602673906525,0.00021197471797525537,883.75,1.707825127659933,12.054606206320022,0.043359469129918365,0.6244676663241178,0.0019063665623294047,0.005245676699039613,4.0908347803175856e-05,55.877012110951725,0.2225737680982281,1907.75,40.680666988960084,117017.5,81.81890572070328,0.8481211686967598,0.003238648753201204,0.7177921138309418,0.00019732040448738617,0.7460767218831735,0.003291122247284568,0.568823552880148,0.006931038501867909
0.0,pagerank,GraphSAGE,297632.5,81.81890572070328,10653.25,40.680666988960084,0.8374602673906525,0.00021197471797525537,883.75,1.707825127659933,12.054606206320022,0.043359469129918365,0.6244676663241178,0.0019063665623294047,0.005245676699039613,4.0908347803175856e-05,55.877012110951725,0.2225737680982281,1907.75,40.680666988960084,117017.5,81.81890572070328,0.8481211686967598,0.003238648753201204,0.7177921138309418,0.00019732040448738617,0.7188317349607672,0.009018378755700622,0.4998049481787302,0.022881235629401798
0.0,stratified,GAT,262544.0,209.8523290316312,10870.0,113.98537917937838,0.8334234446009687,0.00018459566692860904,903.75,2.9860788111948193,12.027762309235735,0.13233470390437233,0.5705905105856869,0.0038265067518190353,0.004445459800679052,9.078287061654064e-05,48.30994795031288,0.4822939873761479,1691.0,113.98537917937838,152106.0,209.8523290316312,0.8653769604330867,0.009074546547199944,0.6331701434945134,0.0005060950899110864,0.7332170880557978,0.003559270187130459,0.545856175885812,0.006902499526186845
