Threshold,Method,Model,Num_Edges_Mean,Num_Edges_Std,Num_Nodes_Mean,Num_Nodes_Std,Modularity_Mean,Modularity_Std,Num_Communities_Mean,Num_Communities_Std,Avg_Community_Size_Mean,Avg_Community_Size_Std,Avg_Clustering_Mean,Avg_Clustering_Std,Graph_Density_Mean,Graph_Density_Std,Avg_Degree_Mean,Avg_Degree_Std,Nodes_Removed_Mean,Nodes_Removed_Std,Edges_Removed_Mean,Edges_Removed_Std,Percent_Nodes_Retained_Mean,Percent_Nodes_Retained_Std,Percent_Edges_Retained_Mean,Percent_Edges_Retained_Std,MAE_Mean,MAE_Std,RMSE_Mean,RMSE_Std,R2_Mean,R2_Std
0.0,blackhole,GAT,195708.0,688.297900621526,11233.25,39.66001344763598,0.8368739015630045,0.0004219976831728053,994.75,11.615363389350618,11.293940219389231,0.16311142390975353,0.4091555412693166,0.0018552877784706388,0.0031022093600428535,1.256312997222684e-05,34.844439409310894,0.04852227664125933,1327.75,39.66001344763598,218942.0,688.297900621526,0.8942958363187644,0.0031573929979807126,0.4719836006270348,0.0016599491152092718,0.8051905740489298,0.11822345642929867,1.3149774803844492,0.17828696925111495,0.6789191175156417,0.09039636657924033
0.0,blackhole,GCN,195708.0,688.297900621526,11233.25,39.66001344763598,0.8368739015630045,0.0004219976831728053,994.75,11.615363389350618,11.293940219389231,0.16311142390975353,0.4091555412693166,0.0018552877784706388,0.0031022093600428535,1.256312997222684e-05,34.844439409310894,0.04852227664125933,1327.75,39.66001344763598,218942.0,688.297900621526,0.8942958363187644,0.0031573929979807126,0.4719836006270348,0.0016599491152092718,1.0647995920970375,0.0367896990570849,1.602909992478385,0.05493872532121261,0.5289880573201298,0.03232317849276916
0.0,blackhole,GraphSAGE,195708.0,688.297900621526,11233.25,39.66001344763598,0.8368739015630045,0.0004219976831728053,994.75,11.615363389350618,11.293940219389231,0.16311142390975353,0.4091555412693166,0.0018552877784706388,0.0031022093600428535,1.256312997222684e-05,34.844439409310894,0.04852227664125933,1327.75,39.66001344763598,218942.0,688.297900621526,0.8942958363187644,0.0031573929979807126,0.4719836006270348,0.0016599491152092718,1.357337514706664,0.03910936658772299,2.1292909605356476,0.07122403161573423,0.16887663766764446,0.05610218193569063
0.0,kcenter,GAT,207325.0,0.0,10279.0,0.0,0.8610621217903596,0.0,1181.0,0.0,8.70364098221846,0.0,0.7668239329918742,0.0,0.003924842108519267,0.0,40.33952719136103,0.0,2282.0,0.0,207325.0,0.0,0.8183265663561818,0.0,0.5,0.0,1.0256386619717297,0.03947136255699701,1.584997874495705,0.02490254445852224,0.5397763371688458,0.014398217331866471
0.0,kcenter,GCN,207325.0,0.0,10279.0,0.0,0.8610621217903596,0.0,1181.0,0.0,8.70364098221846,0.0,0.7668239329918742,0.0,0.003924842108519267,0.0,40.33952719136103,0.0,2282.0,0.0,207325.0,0.0,0.8183265663561818,0.0,0.5,0.0,1.0619516249229677,0.0332332671577833,1.7240646034983396,0.04414092878813317,0.45530710519293716,0.027539239753904456
0.0,kcenter,GraphSAGE,207325.0,0.0,10279.0,0.0,0.8610621217903596,0.0,1181.0,0.0,8.70364098221846,0.0,0.7668239329918742,0.0,0.003924842108519267,0.0,40.33952719136103,0.0,2282.0,0.0,207325.0,0.0,0.8183265663561818,0.0,0.5,0.0,1.2147323085058483,0.052707863847784066,1.8989274959140183,0.06986354634246676,0.3388673394634516,0.04847340741035227
0.0,pagerank,GAT,296011.0,121.63606921194607,10678.25,42.867042507424436,0.8393905480007375,0.00021919339845576327,886.0,3.1622776601683795,12.052320212896515,0.06580668352593864,0.6329072412737019,0.0009842109133914932,0.005192719796878553,4.3279458878776655e-05,55.44257692994428,0.2399291526295984,1882.75,42.867042507424436,118639.0,121.63606921194607,0.85011145609426,0.003412709378825279,0.7138815868805016,0.0002933463625031702,1.0827573790753289,0.020003306625481682,1.6518859500919105,0.014343511747464777,0.5001774380285305,0.008648327421633017
0.0,pagerank,GCN,296011.0,121.63606921194607,10678.25,42.867042507424436,0.8393905480007375,0.00021919339845576327,886.0,3.1622776601683795,12.052320212896515,0.06580668352593864,0.6329072412737019,0.0009842109133914932,0.005192719796878553,4.3279458878776655e-05,55.44257692994428,0.2399291526295984,1882.75,42.867042507424436,118639.0,121.63606921194607,0.85011145609426,0.003412709378825279,0.7138815868805016,0.0002933463625031702,1.1855729662779955,0.08682713724719905,1.9213978751538991,0.08729739700866167,0.3227677200560307,0.06107007409908891
0.0,pagerank,GraphSAGE,296011.0,121.63606921194607,10678.25,42.867042507424436,0.8393905480007375,0.00021919339845576327,886.0,3.1622776601683795,12.052320212896515,0.06580668352593864,0.6329072412737019,0.0009842109133914932,0.005192719796878553,4.3279458878776655e-05,55.44257692994428,0.2399291526295984,1882.75,42.867042507424436,118639.0,121.63606921194607,0.85011145609426,0.003412709378825279,0.7138815868805016,0.0002933463625031702,1.2634472102576375,0.2137937690043228,1.96453289249163,0.31972722876733034,0.27907059971867554,0.2119310127671275
0.0,stratified,GAT,260889.75,181.1304778329699,10879.5,108.03240254664338,0.835374878977595,0.00012004051626465786,905.75,0.9574271077563381,12.011540943722963,0.11142305323718944,0.5714108054715089,0.005278700603679499,0.00440961573147546,8.427523448499002e-05,47.96317644004429,0.4428446844253194,1681.5,108.03240254664338,153760.25,181.1304778329699,0.8661332696441366,0.008600621172410105,0.6291806342698661,0.00043682739137337466,1.0924103273932984,0.029296863335862924,1.6701785504756965,0.018840018252758068,0.4890264406865842,0.011538485964492728
