Model,Method,Threshold,Run,Graph_Build_s,Graph_Construct_s,Train_Time_s,Peak_Memory_Spars_MB,Peak_Memory_Train_MB,Overall_Peak_Memory_MB,Num_Nodes,Num_Edges
GraphSAGE,kcenter,0.0,2,5e-06,99.309307,7.485095,231.464,14.612,231.464,11634,207325
GAT,kcenter,0.1,0,4e-06,96.995497,71.61567,221.291,12.424,221.291,10146,186593
GAT,kcenter,0.1,1,4e-06,97.465942,43.692257,221.292,12.424,221.292,10146,186593
GAT,kcenter,0.1,2,6e-06,95.601847,67.892766,221.29,12.424,221.29,10146,186593
GCN,kcenter,0.1,0,5e-06,95.685168,4.224294,221.29,12.424,221.29,10146,186593
GCN,kcenter,0.1,1,4e-06,96.643712,4.644316,221.29,12.424,221.29,10146,186593
GCN,kcenter,0.1,2,4e-06,95.94585,4.826132,221.29,12.424,221.29,10146,186593
GraphSAGE,kcenter,0.1,0,4e-06,97.173481,6.255204,221.29,12.424,221.29,10146,186593
GraphSAGE,kcenter,0.1,1,5e-06,95.399932,6.469163,221.29,12.424,221.29,10146,186593
GraphSAGE,kcenter,0.1,2,4e-06,96.845004,9.334401,221.292,12.424,221.292,10146,186593
GAT,kcenter,0.2,0,4e-06,90.446634,35.194256,212.079,11.096,212.079,8730,165860
GAT,kcenter,0.2,1,5e-06,90.386312,45.591489,212.079,11.096,212.079,8730,165860
GAT,kcenter,0.2,2,5e-06,92.432103,38.470359,212.079,11.096,212.079,8730,165860
GCN,kcenter,0.2,0,4e-06,90.249381,3.776441,212.079,11.096,212.079,8730,165860
GCN,kcenter,0.2,1,4e-06,91.599026,3.919233,212.079,11.096,212.079,8730,165860
GCN,kcenter,0.2,2,5e-06,90.504716,4.321318,212.079,11.096,212.079,8730,165860
GraphSAGE,kcenter,0.2,0,5e-06,91.610655,6.784097,212.079,11.096,212.079,8730,165860
GraphSAGE,kcenter,0.2,1,5e-06,90.268152,5.602458,212.081,11.096,212.081,8730,165860
GraphSAGE,kcenter,0.2,2,4e-06,92.30504,4.739836,212.079,11.096,212.079,8730,165860
GAT,kcenter,0.3,0,5e-06,83.042767,25.18341,202.83,9.823,202.83,7343,145128
GAT,kcenter,0.3,1,5e-06,84.583754,38.973927,202.83,9.823,202.83,7343,145128
GAT,kcenter,0.3,2,4e-06,84.338745,31.303834,202.83,9.823,202.83,7343,145128
GCN,kcenter,0.3,0,5e-06,83.220623,4.122771,202.83,9.823,202.83,7343,145128
GCN,kcenter,0.3,1,5e-06,84.112511,3.105398,202.83,9.823,202.83,7343,145128
GCN,kcenter,0.3,2,4e-06,83.533422,3.528073,202.83,9.823,202.83,7343,145128
GraphSAGE,kcenter,0.3,0,4e-06,84.57156,3.952307,202.83,9.823,202.83,7343,145128
GraphSAGE,kcenter,0.3,1,4e-06,83.064545,4.895653,202.832,9.823,202.832,7343,145128
GraphSAGE,kcenter,0.3,2,5e-06,84.182288,4.329134,202.83,9.823,202.83,7343,145128
GAT,kcenter,0.4,0,5e-06,75.840786,25.696246,193.123,8.509,193.123,6027,124395
GAT,kcenter,0.4,1,4e-06,74.074127,21.439058,193.122,8.509,193.122,6027,124395
GAT,kcenter,0.4,2,4e-06,76.246229,36.478763,193.122,8.509,193.122,6027,124395
GCN,kcenter,0.4,0,4e-06,74.704303,2.229267,193.122,8.509,193.122,6027,124395
GCN,kcenter,0.4,1,4e-06,75.739311,2.860006,193.122,8.509,193.122,6027,124395
GCN,kcenter,0.4,2,4e-06,74.493884,2.362285,193.122,8.509,193.122,6027,124395
GraphSAGE,kcenter,0.4,0,5e-06,75.730712,3.182107,193.123,8.509,193.123,6027,124395
GraphSAGE,kcenter,0.4,1,4e-06,74.130257,3.69215,193.122,8.509,193.122,6027,124395
GraphSAGE,kcenter,0.4,2,5e-06,74.228097,4.491977,193.122,8.509,193.122,6027,124395
GAT,kcenter,0.5,0,5e-06,65.889925,27.756487,183.616,6.839,183.616,4750,103663
GAT,kcenter,0.5,1,4e-06,64.802028,26.224554,183.614,6.839,183.614,4750,103663
GAT,kcenter,0.5,2,4e-06,65.992815,24.792723,183.614,6.839,183.614,4750,103663
GCN,kcenter,0.5,0,4e-06,64.8447,1.546382,183.614,6.839,183.614,4750,103663
GCN,kcenter,0.5,1,6e-06,65.716784,1.578495,183.614,6.839,183.614,4750,103663
GCN,kcenter,0.5,2,4e-06,64.64624,2.204811,183.614,6.839,183.614,4750,103663
GraphSAGE,kcenter,0.5,0,5e-06,64.681666,2.917401,183.614,6.839,183.614,4750,103663
GraphSAGE,kcenter,0.5,1,5e-06,65.480411,2.844919,183.614,6.839,183.614,4750,103663
GraphSAGE,kcenter,0.5,2,5e-06,64.561369,3.035797,183.614,6.839,183.614,4750,103663
GAT,kcenter,0.6,0,4e-06,54.008913,12.059903,174.553,5.541,174.553,3512,82930
GAT,kcenter,0.6,1,5e-06,54.679872,11.097923,174.553,5.541,174.553,3512,82930
GAT,kcenter,0.6,2,5e-06,53.176067,18.485737,174.553,5.541,174.553,3512,82930
GCN,kcenter,0.6,0,5e-06,53.450238,1.499138,174.555,5.541,174.555,3512,82930
GCN,kcenter,0.6,1,5e-06,54.358511,1.00459,174.553,5.541,174.553,3512,82930
GCN,kcenter,0.6,2,4e-06,53.514112,1.111057,174.553,5.541,174.553,3512,82930
GraphSAGE,kcenter,0.6,0,4e-06,53.202634,1.741834,174.553,5.541,174.553,3512,82930
GraphSAGE,kcenter,0.6,1,5e-06,54.35934,1.726733,174.553,5.541,174.553,3512,82930
GraphSAGE,kcenter,0.6,2,5e-06,53.383889,1.633939,174.553,5.541,174.553,3512,82930
GAT,kcenter,0.7,0,4e-06,38.270581,10.075657,164.92,4.024,164.92,2501,62198
GAT,kcenter,0.7,1,5e-06,38.713253,10.23599,164.919,4.024,164.919,2501,62198
GAT,kcenter,0.7,2,4e-06,39.295982,11.284737,164.919,4.024,164.919,2501,62198
GCN,kcenter,0.7,0,5e-06,38.277411,0.703478,164.919,4.024,164.919,2501,62198
GCN,kcenter,0.7,1,4e-06,38.393162,0.922963,164.919,4.024,164.919,2501,62198
GCN,kcenter,0.7,2,5e-06,38.340931,1.06651,164.919,4.024,164.919,2501,62198
GraphSAGE,kcenter,0.7,0,4e-06,38.265461,1.249787,164.919,4.024,164.919,2501,62198
GraphSAGE,kcenter,0.7,1,4e-06,39.594245,1.545319,164.922,4.024,164.922,2501,62198
GraphSAGE,kcenter,0.7,2,5e-06,38.3482,1.371966,164.919,4.024,164.919,2501,62198
GAT,kcenter,0.8,0,4e-06,17.411435,1.601802,142.282,0.459,142.282,2161,3799
GAT,kcenter,0.8,1,5e-06,17.41617,1.679575,142.282,0.459,142.282,2161,3799
GAT,kcenter,0.8,2,5e-06,17.578353,2.318182,142.282,0.459,142.282,2161,3799
GCN,kcenter,0.8,0,4e-06,17.415454,0.116131,142.282,0.459,142.282,2161,3799
GCN,kcenter,0.8,1,4e-06,17.326334,0.17305,142.282,0.459,142.282,2161,3799
GCN,kcenter,0.8,2,4e-06,17.476694,0.140748,142.282,0.459,142.282,2161,3799
GraphSAGE,kcenter,0.8,0,4e-06,17.446952,0.268515,142.282,0.459,142.282,2161,3799
GraphSAGE,kcenter,0.8,1,4e-06,18.31946,0.221624,142.282,0.459,142.282,2161,3799
GraphSAGE,kcenter,0.8,2,4e-06,17.396282,0.241064,142.282,0.459,142.282,2161,3799
GAT,kcenter,0.9,0,4e-06,17.402672,2.01536,142.282,0.459,142.282,2161,3799
GAT,kcenter,0.9,1,7e-06,17.452469,1.963077,142.282,0.459,142.282,2161,3799
GAT,kcenter,0.9,2,4e-06,17.426877,2.016579,142.282,0.459,142.282,2161,3799
GCN,kcenter,0.9,0,5e-06,17.436512,0.144365,142.282,0.459,142.282,2161,3799
GCN,kcenter,0.9,1,4e-06,18.600037,0.159933,142.282,0.459,142.282,2161,3799
GCN,kcenter,0.9,2,3e-06,18.034843,0.148168,142.282,0.459,142.282,2161,3799
GraphSAGE,kcenter,0.9,0,4e-06,17.538229,0.276492,142.282,0.459,142.282,2161,3799
GraphSAGE,kcenter,0.9,1,4e-06,18.609701,0.268308,142.282,0.459,142.282,2161,3799
GraphSAGE,kcenter,0.9,2,4e-06,17.480765,0.263798,142.282,0.459,142.282,2161,3799
