refcode,linker SMILES,metal,Largest Cavity Diameter,Pore Limiting Diameter,Largest Free Sphere,category,Gravity,Degree_Centrality,Betweenness_Centrality,Edge_Weight_Sum,Community_ID
ABAVIJ,OC(=O)c1ccncc1,Co,4.43864,2.4964,3.9804,small pore,0.47596652351940927,0.30116959064327486,0.003015094284089372,177.01521152036975,55
ABAVOP,OC(=O)c1ccncc1,Co,3.53566,2.44164,3.51741,small pore,0.46827786751935474,0.29678362573099415,0.002862200307600636,174.62881767269644,55
ABAVUV,OC(=O)c1ccncc1,Co,4.9992,4.29904,4.982,medium pore,0.44716958639553667,0.283625730994152,0.002673696897507273,167.10249684433384,55
ABAYIO,OC(=O)c1cc(cc(c1)C(=O)O)C(=O)O,Mn,11.39487,4.3226,11.39487,medium pore,0.6910143890667619,0.4864300626304801,0.009259377835631832,199.30904276075609,225
ABAYOS,OC(=O)c1nccnc1C(=O)O,Ag,1.45533,0.64478,1.45533,nonporous,0.20178738525622195,0.048672566371681415,0.0,9.902806719826382,73
ABAYOU,OC(=O)c1cc(cc(c1)C(=O)O)C(=O)O,Co,11.27344,4.5108,11.27344,medium pore,0.7554598545528487,0.4225146198830409,0.01408473292366484,245.5682154668925,55
ABEMIF,OC(=O)c1cc(cc(c1)C(=O)O)C(=O)O,Cu,11.25251,6.80253,11.25251,medium pore,0.7176732057586214,0.5739514348785872,0.005407319069112165,452.21638232834135,1
ABIWOX,OC(=O)c1cncc(c1)C(=O)O,Co,1.81541,0.7958,1.80785,nonporous,0.34801115616549505,0.21929824561403508,0.002845752697934036,126.15157952994564,55
ABUFOU,OC(=O)/C=C/c1ccc(cc1)/C=C/C(=O)O,Mn,2.13608,1.65727,2.11833,nonporous,0.34470515374353106,0.008350730688935281,0.004209609470119883,3.413313475963832,225
ABUFUA,OC(=O)/C=C/c1ccc(cc1)/C=C/C(=O)O,Fe,2.05942,1.64222,2.05073,nonporous,0.0,1.0,0.0,0.8171449995284192,2
ABUWOJ,OC(=O)c1ccc(cc1)C(=O)O,Zn,3.23457,1.404,3.20514,nonporous,0.1277457879643845,0.5998225377107365,0.0027034553445690673,592.4603305913994,3
ACAFAO,[O-][n+]1ccc(cc1)c1ccc(cc1)C(=O)O,Pb,6.22232,5.37253,6.18758,medium pore,0.7365319860942214,0.21019108280254778,0.00025401799174583513,28.418000704615558,127
ACAJOG,OC(=O)c1cc(F)cnc1,Cu,3.3423,1.69329,3.34162,nonporous,0.15204998759819155,0.1291390728476821,0.00016091395060684706,96.13122083755538,1
ACAKEX,OC(=O)c1cc(Cl)cnc1,Cu,2.82904,1.09185,2.4209,nonporous,0.14376256089539158,0.12251655629139073,9.705328404309847e-05,90.92810142454192,1
ACALAT,OC(=O)c1cc(cc(c1)c1nnn(c1)c1cc(cc(c1)C(=O)O)C(=O)O)C(=O)O,Eu,3.17027,1.00034,3.16396,nonporous,0.46012357855446223,0.032388663967611336,0.0006199044053773804,6.6712195349400645,12
ACALIB,OC(=O)c1cc(cc(c1)c1nnn(c1)c1cc(cc(c1)C(=O)O)C(=O)O)C(=O)O,Er,3.83161,1.64823,3.83161,nonporous,0.35005984092025366,0.056179775280898875,0.0,4.073195708273082,365
ACAZEK,NCCN,Ag,1.67292,0.95578,1.29275,nonporous,0.0,1.0,0.0,35.889987490353434,4
ACIBOE,OC(=O)c1cc(cc(c1)C(=O)O)C(=O)O,Zn,8.26184,7.04151,8.26184,medium pore,0.31108121935451305,0.5403726708074534,0.0034704610118713314,527.9698811660312,3
ACICOH,OC(=O)c1ccncc1,Ni,5.23439,3.67775,5.17003,small pore,0.6800253480171408,0.4427083333333333,0.013560823661066805,72.50606306395532,60
ACMPCD,O[C@@H]1[C@@H](O)[C@@H](O[C@@H]1n1ccc(nc1=O)N)COP(=O)(O)O,Cd,5.66735,4.60927,5.66735,medium pore,0.9834390121670288,0.6666666666666666,0.6666666666666666,1.7162247984971102,6
ACOBEC,OC(=O)c1ccc(cc1)C(=O)O,Sc,3.36484,2.64983,3.36484,small pore,0.7034771648456182,0.9787234042553191,0.0002422800757675873,45.147616677685626,7
ACODED,OC(=O)c1ccc(cc1)P(=O)(c1ccc(cc1)C(=O)O)c1ccc(cc1)C(=O)O,Cu,6.08481,3.78801,6.00167,small pore,0.1441270119670559,0.12141280353200883,0.0005337896746648799,90.38083142273301,1
ACODIH,OC(=O)c1ccc(cc1)P(=O)(c1ccc(cc1)C(=O)O)c1ccc(cc1)C(=O)O,Zn,6.22954,4.82188,6.21878,medium pore,0.7579153373218812,0.27506654835847383,0.0004670258758122029,265.1014489009971,3
ACODON,OC(=O)c1ccc(cc1)P(=O)(c1ccc(cc1)C(=O)O)c1ccc(cc1)C(=O)O,Tb,7.12973,4.65534,7.12973,medium pore,0.5451131814225557,0.25888324873096447,0.00030339866666337384,43.61729049705474,22
ACOFEG,OC(=O)c1cc(Oc2ccc(cc2)c2cc(nc(c2)c2ccncc2)c2ccncc2)cc(c1)C(=O)O,Eu,2.93411,1.60176,2.93353,nonporous,0.497204979866978,0.07692307692307693,0.00022977957403737617,15.91856456343891,12
ACOFIK,OC(=O)c1cc(Oc2ccc(cc2)c2cc(nc(c2)c2ccncc2)c2ccncc2)cc(c1)C(=O)O,Tb,2.87015,1.596,2.87015,nonporous,0.0795185288431284,0.08121827411167512,4.707682397570347e-05,13.218633007555711,22
ACOGEF,O=C(N1CCN(CCN(CCN(CC1)C(=O)Nc1ccncc1)C(=O)Nc1ccncc1)C(=O)Nc1ccncc1)Nc1ccncc1,Cd,5.22428,3.94888,4.76827,small pore,0.06789796627741466,0.0049382716049382715,0.0,3.4997531869558527,69
ACOLOV,OC(=O)c1ccc(cc1)OCC(COc1ccc(cc1)C(=O)O)(COc1ccc(cc1)C(=O)O)COCC(COc1ccc(cc1)C(=O)O)(COc1ccc(cc1)C(=O)O)COc1ccc(cc1)C(=O)O,Cd,7.34692,5.34744,7.34692,medium pore,0.09804458293762407,0.05185185185185185,0.00018431041634000617,35.957594056780245,69
ACOVEU,O[C@H]([C@H](C(=O)O)O)C(=O)O,Co,1.414,0.90293,1.414,nonporous,0.0,1.0,0.0,0.9066490831524328,9
ACUBOP,OC(=O)c1cccnc1,Cd,2.69745,1.73529,2.68119,nonporous,0.22879751356563816,0.1382716049382716,0.002788331416183464,94.61388671508021,69
ACUBOP01,OC(=O)c1cccnc1,Cd,2.57554,1.45861,2.56529,nonporous,0.23099959831365868,0.13950617283950617,0.0028316001265835445,95.41569754418984,69
ACUREY,OC(=O)c1cc(Oc2ccc(cc2)c2cc(nc(c2)c2ccncc2)c2ccncc2)cc(c1)C(=O)O,Ni,4.84425,3.67908,4.84333,small pore,0.243208474278151,0.16666666666666666,0.000554527282066176,27.78942858407492,60
ACUWIH,OC(=O)c1cc(cc(c1)C(=O)O)Cn1ccc(=c2ccn(cc2)Cc2cc(cc(c2)C(=O)O)C(=O)O)cc1,Mn,3.04167,1.17186,3.04167,nonporous,0.5897649501873066,0.06889352818371607,1.313305974033309e-06,27.35832105313089,225
ACUWON,OC(=O)c1cc(cc(c1)C(=O)O)Cn1ccc(=c2ccn(cc2)Cc2cc(cc(c2)C(=O)O)C(=O)O)cc1,Co,2.6141,1.11559,2.6141,nonporous,0.0632666319024852,0.043859649122807015,0.00010677962475867656,24.962852204496,55
ACUXUU,OC(=O)c1ccc(cc1)C(=C(c1ccc(cc1)C(=O)O)c1ccc(cc1)C(=O)O)c1ccc(cc1)C(=O)O,Ag,8.02271,7.05592,8.02271,medium pore,0.37208839407752425,0.08849557522123894,0.0065599864446606,16.91004158129323,73
ACUYAB,OC(=O)c1ccc(cc1)C(=C(c1ccc(cc1)C(=O)O)c1ccc(cc1)C(=O)O)c1ccc(cc1)C(=O)O,Ag,10.0214,8.7083,9.99216,large pore,0.12481367066186402,0.08849557522123894,0.0065599864446606,16.91397960914082,73
ADAQAA,OC(=O)c1ccc(cc1)c1ccc2c(c1)C1(c3c2ccc(c3)c2ccc(cc2)C(=O)O)c2cc(ccc2c2c1cc(cc2)c1ccc(cc1)C(=O)O)c1ccc(cc1)C(=O)O,Zr,10.76894,7.5022,10.75927,medium pore,0.35532664215528664,0.4943820224719101,8.309886691558345e-06,74.23691389080419,143
ADASAB,OC(=O)c1ccc(cc1)c1cc(cc(c1)c1nnn[nH]1)c1ccc(cc1)C(=O)O,Cu,22.83065,13.49015,22.82867,large pore,0.07931447786710896,0.06291390728476821,0.0013857329163020032,48.66875657012498,1
ADASEF,OC(=O)c1cc(cc(c1)c1ccc(cc1)c1nnn[nH]1)C(=O)O,Cu,21.61885,9.92987,17.61702,large pore,0.19264577554579973,0.16335540838852097,0.0001490368535953003,121.76655177543377,1
ADASIJ,OC(=O)c1cc(OCc2cc(COc3cc(cc(c3)C(=O)O)C(=O)O)cc(c2)COc2cc(cc(c2)C(=O)O)C(=O)O)cc(c1)C(=O)O,Cu,18.24535,5.18216,18.24535,medium pore,0.15865425378974862,0.13134657836644592,0.0003869941719062429,101.44581956254501,1
ADASOP,OC(=O)c1cc(OCc2cc(COc3cc(cc(c3)C(=O)O)C(=O)O)cc(c2)COc2cc(cc(c2)C(=O)O)C(=O)O)cc(c1)C(=O)O,Zn,18.03956,3.78957,14.25925,small pore,0.16278714556566354,0.12156166814551908,0.00021690262513618242,116.2593499097657,3
ADASUV,OC(=O)c1cc(OCc2cc(COc3cc(cc(c3)C(=O)O)C(=O)O)cc(c2)COc2cc(cc(c2)C(=O)O)C(=O)O)cc(c1)C(=O)O,Co,17.17801,5.41746,17.17174,medium pore,0.14104493604994767,0.09502923976608187,8.999349644048657e-05,56.02276682097479,55
ADATAC,OC(=O)c1cc(/N=N/c2ccc(cc2)OCc2cc(COc3ccc(cc3)/N=N/c3cc(cc(c3)C(=O)O)C(=O)O)cc(c2)COc2ccc(cc2)/N=N/c2cc(cc(c2)C(=O)O)C(=O)O)cc(c1)C(=O)O,Zn,26.34279,10.27339,16.37218,large pore,0.6898863646921283,0.019520851818988466,3.9740820762393245e-06,18.507151701928876,3
ADATIK,O=C(c1ccc(cc1)c1nnn[nH]1)Nc1cc(cc(c1)C(=O)O)C(=O)O,Cu,19.96403,10.96992,14.15856,large pore,0.053487966679666744,0.04525386313465784,8.550177206794428e-05,34.755807947178106,1
ADATOQ,C/C(=N\Nc1ccccn1)/c1ccc(cc1)N(c1ccc(cc1)/C(=N/Nc1ccccn1)/C)c1ccc(cc1)/C(=N/Nc1ccccn1)/C,Ag,10.5421,9.07611,10.5421,large pore,0.6564672234975952,0.52,0.012789115646258498,22.399069422274046,10
ADATUW,C/C(=N\Nc1ccccn1)/c1ccc(cc1)N(c1ccc(cc1)/C(=N/Nc1ccccn1)/C)c1ccc(cc1)/C(=N/Nc1ccccn1)/C,Ag,10.34629,8.86044,10.34629,large pore,0.6294236883926465,0.52,0.012789115646258498,22.39986717173623,10
ADAVAE,C[C@H](c1ccc(cc1)N(c1ccc(cc1)[C@@H](NNc1ccccn1)C)c1ccc(cc1)[C@@H](NNc1ccccn1)C)NNc1ccccn1,Ag,10.21446,8.80719,10.21446,large pore,0.32744952902201285,0.5,0.0,20.19439022218944,10
ADAVEI,C/C(=N\Nc1ccccn1)/c1ccc(cc1)N(c1ccc(cc1)/C(=N/Nc1ccccn1)/C)c1ccc(cc1)/C(=N/Nc1ccccn1)/C,Ag,10.15021,8.70819,10.15021,large pore,0.9214877652626572,0.52,0.012789115646258498,22.399597712008337,10
ADEGEY,OC(=O)c1ccc2c(c1)c1ccc(cc1c1c2cc(cc1)C(=O)O)C(=O)O,Cd,6.80312,4.92448,6.59725,medium pore,0.05951995494424171,0.19753086419753085,0.0013668944210298208,132.95046139370274,69
ADEGIA,OC(=O)c1ccc(cc1)C(=O)O,Gd,2.88073,1.44486,2.87942,nonporous,0.8697720743621651,0.5031446540880503,0.041723846127355836,68.99695040000563,195
ADEGIA01,OC(=O)c1ccc(cc1)C(=O)O,Gd,2.88895,1.25148,2.80568,nonporous,0.8403229971448065,0.4968553459119497,0.03764596839292212,68.1325989550024,195
ADEZUH,OC(=O)Cc1nnn[nH]1,Zn,2.18101,1.09334,2.18101,nonporous,0.2921339239739953,0.0821917808219178,0.050232146407851855,10.608497069261984,128
