source,target,weight
IXEJIG,HERJOG,0.9999496994589456
CUPHUS,OJOQAF03,0.9957998339377852
WEZWEE,NUDPAE04,0.998318486244668
VACFOV,FEYDET,0.8747081975014522
MOBDIR,PIDRAY,0.8205890855923521
WAQTEQ,CEHLAD,0.8101242423689281
XAMDUM,HIBTAQ,0.8269672004086936
JUXZOT,YUYLIP,0.8009687958437812
AGIREP,CEPYII,0.850851619354484
EDOSOI,DOTSOV09,0.8152226375784271
HIZQEN01,QUQGUF,0.8527024376279017
HIHGUC,YINPEQ,0.853446920642237
DADTOS06,JIXWUJ01,0.998587087618241
KORMUB,JEDVUM,0.8314051210145709
AVAQIX01,IVAZOU,0.8252950130421522
UVAPAK,EKUNON,0.8252801006869028
MIBQAR03,ZARLIP,0.8737818736454966
QIYDIN01,NUTQAV,0.8857576646254158
YOZMIL,UFUNIS,0.8088876041202089
GIKMOD07,BODPAN,0.8925644455615293
DOTSOV40,QOWRAV07,0.8337996823432406
KENTEF04,KENVOR01,0.9999996460312304
DAKVOC,XOMHEO,0.8061486848482018
KAHWOG,IXISIT02,0.8601741685390076
PIJJEZ,YIHZIA02,0.8263366017645173
QAWHIH01,IPUPOA,0.8815989766531794
WUZGEF01,JUXZIN,0.8423539064215766
AWEJIW,IGUTUB01,0.8545054467412185
VEHKIE,LUPCOQ,0.800129638757375
VIKSEQ,HERJEW,0.8509254495252525
HURGEH,BIPXIK,0.8150601705679518
KUJMIN,FAZYOV,0.829561808621798
NURHAL,DADTOS18,0.9997604056339192
NIYZIG,NUVYIO,0.8077346631535559
YOZMOR,LIYVOG,0.8464032251150292
MOXDOT,NEGQIC,0.8595783385482229
IFABIA02,YEKXET,0.8544497440944535
DEFTAL01,DIDBAV,0.8069306935283718
UMUBEL,LAYWOA,0.8228522697725223
HOKLIE,MIBQAR20,0.8380886335475282
LUWMEX,GARLAP,0.8224959433902523
KEFBOO,NUFCAU,0.8084265823881611
RAKBIO,VODNOS,0.8437385304181877
IMIDZB06,PAJRUQ,0.9947842853557198
CIDCAW,NABLIM,0.8107015619619115
ABEMIF,DORNAB,0.8162103763879247
QOBGEV,AZIMIH,0.9965411607357064
CIJBEE,DUVNIS01,0.8149881140914276
GIGGEL,ERARUM,0.8544243350559643
EKERIW,PEBNER,0.8185004163075293
YUWDAX,OSAVEK,0.8679169690001007
CIRTAB,XAVQIU,0.8534945869513418
REPCIZ,JUXZIN,0.8844007898647805
BOLPAU,MAVNUU,0.8081606307675195
DADTOS03,REZJIR03,0.999890851723468
MACHIJ,MIBQAR,0.8446501935770299
UMOVID,UMOVOJ,0.9998885408319076
HIFGIO,BABRII,0.8650582060705138
UMOBEF02,QOWRAV03,0.856003904956952
VEHJUP,VEHJOJ,0.9999994247112892
TATSIS,OKEHIW,0.8320955541096946
YOCDUR,ODIXEG,0.8015036702972975
DOTSOV15,SESRUG,0.8108947675901248
NIFRIG,YITKEU,0.8227394853845758
JEXXAM06,NIFORM02,0.9949503247727324
YOZMOR,BAHGUN04,0.810732971522329
NIKYUC02,NUDPAE02,0.9990311971245984
QAWHIH01,FAGQAI,0.808981051561152
GOVSER,REGREC,0.8049028303721115
KEJWAY,DAFHEZ,0.8030336670332421
QAMKOH,YEXCUC,0.8607399857651373
FUTZAX,PASGEX01,0.8143374415110795
DACZUF,CIFMIP,0.8108877947566158
NEVVAM01,ERUNUC,0.801986991655343
VORSEC,XOLFAH,0.8026096929491005
ITIWUE,ITIWAK,0.9999992354955696
IDIWOH03,IXOFUX,0.9999996999242384
DURDIF,EXOXUL,0.8335823238625693
MIBQAR20,MIQKON,0.8749800760123967
XATLIQ,AVAQIX01,0.8396150342160257
HOSPEL,CEVPID,0.8531216504843551
UWAGAB01,WIMLIQ,0.8919036093199166
LAWGOG,PASGIB,0.8121274324506705
ETUWOG,ESUSOC,0.8049786736872157
NUYWEK,WEBLAQ,0.8260604905635854
YUKVAC,NUDNUW06,0.999673412683389
CESNUM,RUVBER,0.8026159362504705
ODOXEK,PIKYAM,0.8057977698462
SURKEX,HERHIY,0.8517864796955401
DOTSOV29,UNACIW,0.8230580423391893
LUSHOX03,CIFDOM,0.8847030226618431
ACAKEX,DOTSOV06,0.8066629915641871
ACICOH,KEVBIY,0.8602736731051096
GIKMOD06,MOCKAR,0.8144407461073391
RULVUP,ASUKEE,0.821907591239875
TESGOO,ELUQIM07,0.9998157510950711
LUYSOP,DIQHAO01,0.81077169187431
SIWPUL05,YANWOC03,0.9997340894414698
QAWHIH,FAGQAI,0.8088774220009877
SERKOQ,GOVSER,0.9070718519902738
DOTSOV15,DOTSOV16,0.9999999991316978
NEHZOS,SENSIQ,0.8685097771252299
KAVREG,EDAGEX,0.9974451882452452
SURKEX,NEVSUF07,0.8395425059775983
OFERUN02,SEFVEG02,0.8124407201890561
ODOXEK,DIMDAG,0.8419202556900383
SIZNIA,XAMDUM05,0.8056272652837925
AZIMIH,XASNUD,0.8233301374172626
LIQFEY,PUNDUY,0.9078913506199892
PUGSER,QOZSIJ,0.8468367735242164
YOZYUJ,VICYOX,0.8093257739307358
RAVGEC,AZIHOI,0.8178691524545503
VAZTUM,NEHGIS,0.9046299313651536
AVULAF,DEZKAW,0.8138881233396357
DUVNIS,KOHDIW,0.8058290083909481
PIWLEP,UVUFUN,0.8151154549166141
AQIQEY,SIXFIQ01,0.8945511225134067
YANWOC02,SIWPUL06,0.9998039265004758
JUQSIZ,VAKLIF,0.904283862174278
HUNCUQ,MIFKUJ,0.8086758719455109
AMOBEL02,DEPJIR01,0.9970231192176398
PADKIP18,QINSUD,0.9999893499992012
AXINIF,DIQHAO,0.8558927302122661
YEYRAY,PARKUQ01,0.9999469650393312
NEVSUF11,NEVSUF,0.9999999609319812
CUJCOB,ATIKET,0.9060448463758012
NOBWUY,DOTSOV40,0.836811141690579
NATFAS,YUJCOX,0.9974932253206594
RUWWOW,CIJBAB,0.8611265015480528
COKNUN02,ORIWET,0.999679763689442
IREGOD,RAYMOV,0.8399917024197614
MNFORD01,DADTOS14,0.999821361207707
UFAMEW,MAFZIE,0.8453071753698156
AVIMIC,PERQUB,0.82455192053704
