refcode,linker SMILES,metal,Largest Cavity Diameter,Pore Limiting Diameter,Largest Free Sphere,category,Gravity,Degree_Centrality,Betweenness_Centrality,Edge_Weight_Sum,Community_ID
NUXMIC01,OP(=O)(CCCP(=O)(O)O)O,Zn,2.13267,1.31264,2.13267,nonporous,0.38107994486380414,0.3648648648648649,0.006516105146242131,25.375707136605623,116
NUYWEK,OC(=O)c1ccc(cc1)n1cncc1,Cd,4.36216,2.47271,4.36216,small pore,0.17774291841890683,0.09135802469135802,0.001451462483038081,63.54665019145733,69
NUYXEL,OC(=O)c1cccc(c1)n1cncc1,Cd,4.64024,1.39597,4.37673,nonporous,0.2916497625750178,0.03333333333333333,0.0017067125785491526,23.26012599292336,69
NUZSOR,OC(=O)c1ccncc1,Ag,1.63663,0.69107,1.17576,nonporous,0.1837900265395999,0.10176991150442477,0.044814301816649964,19.47447211413286,73
OBAHIL,OC(=O)c1ccc(cc1)c1[nH]c(nc1c1ccc(cc1)C(=O)O)c1ccccn1,Zn,8.44212,7.37969,8.44212,medium pore,0.35644655876676556,1.0,0.0,4.999950567310121,588
OBAHOR,OC(=O)c1ccc(cc1)c1[nH]c(nc1c1ccc(cc1)C(=O)O)c1ccccn1,Zn,8.04816,7.09842,8.04587,medium pore,0.4,1.0,0.0,4.999933623286073,588
OBAHUX,OC(=O)c1ccc(cc1)c1[nH]c(nc1c1ccc(cc1)C(=O)O)c1ccccn1,Zn,8.31415,7.49178,8.31415,medium pore,0.3779269036342157,1.0,0.0,4.999794951371925,588
OBAJAF,OC(=O)c1ccc(cc1)c1[nH]c(nc1c1ccc(cc1)C(=O)O)c1ccccn1,Zn,9.0864,7.73883,9.06775,medium pore,0.3285712412762223,1.0,0.0,4.999870048016645,588
OBEDAA,N#CC(c1ccc(cc1)C#N)(c1ccc(cc1)C#N)c1ccc(cc1)C#N,Ag,4.78349,3.85162,4.71669,small pore,0.1519201377997586,0.03982300884955752,0.0,7.351516587935431,73
OBIBAF,OC(=O)c1ccc(cc1)OCc1c(C)c(COc2ccc(cc2)C(=O)O)c(c(c1C)COc1ccc(cc1)C(=O)O)C,Mg,5.64829,4.07018,5.63551,medium pore,0.6774654867715131,0.04424778761061947,0.0,4.168095932869157,226
OBIBEJ,OC(=O)c1ccc(cc1)OCc1c(C)c(COc2ccc(cc2)C(=O)O)c(c(c1C)COc1ccc(cc1)C(=O)O)C,Ca,6.31212,3.56108,5.63424,small pore,0.3933089644873653,0.09322033898305085,0.0,9.37926539218982,66
OBIVAY,OS(c1ccc2c(c1)cccc2S(O)(O)O)(O)O,Sr,2.45079,1.22486,2.3508,nonporous,1.0,0.6666666666666666,0.6666666666666666,1.6892457474029698,699
OBIYAC,OC(=O)c1cc(cc(c1)C(=O)O)c1ccc2c(c1)c1cc(ccc1[nH]2)c1cc(cc(c1)C(=O)O)C(=O)O,Tb,6.33711,3.64403,6.33711,small pore,0.15507813514515423,0.15228426395939085,4.115809304948856e-05,25.221716639767966,22
OBODEQ,OC(=O)c1cc(cc(c1)C(=O)O)C(=O)O,Nd,2.51881,1.20935,2.45863,nonporous,0.18717006896381333,0.4496124031007752,0.058342608279940464,49.53150518235914,18
OBOGUK,OC(=O)c1cc(cc(c1)Oc1cc(cc(c1)C(=O)O)C(=O)O)Oc1cc(cc(c1)C(=O)O)C(=O)O,Zn,8.47747,6.13699,8.47747,medium pore,0.23742737926498902,0.20496894409937888,0.0005201729439886393,196.03791733028424,3
OBOHOE,OC(=O)c1nccnc1C(=O)O,Ca,1.86104,0.88129,1.83259,nonporous,0.5725334337449234,0.375,0.42857142857142855,2.4534320242951293,220
OBUMIK,OP(=O)(c1ccc(cc1)[Si](c1ccc(cc1)P(=O)(O)O)(c1ccc(cc1)P(=O)(O)O)c1ccc(cc1)P(=O)(O)O)O,Zr,2.6586,1.57685,2.65217,nonporous,0.06437763516142284,1.0,0.0,2.5008349685178137,105
OBUZIV,OC(=O)COc1ccc(cc1)OCC(=O)O,Zn,2.44006,1.39442,2.43325,nonporous,0.5260592317788714,0.015971606033717837,0.002197334930665984,15.006269391055298,3
OCACUR,OC(=O)c1cc(C(=O)O)c(cc1C(=O)O)C(=O)O,Co,3.27075,1.46905,3.21628,nonporous,0.28995044327351316,0.16374269005847952,0.004961876541180695,97.25938784536733,55
OCAKUB,OC(=O)c1ccc(cc1)c1ccc(cc1)C(=O)O,Mn,2.85408,1.46775,2.81045,nonporous,0.3602490782151817,0.43215031315240077,0.006539503652870781,177.22562238063801,225
OCETAS,CCc1nnn[nH]1,Ag,2.04914,1.1879,1.84609,nonporous,0.030493253455682545,0.6666666666666666,0.6666666666666666,1.7137670378314076,516
OCIHAK,OC(=O)c1cc(ccc1C(=O)O)C(=O)O,Cd,1.99061,0.874,1.94879,nonporous,0.10815069388997227,0.20617283950617282,0.0051493979617643565,140.4426962198752,69
OCOTIM,O[C@H]([C@H](C(=O)O)O)C(=O)O,Li,1.23081,0.68199,1.23081,nonporous,0.32839688903638947,1.0,0.0,22.978811436759457,693
OCUGAX,OC(=O)c1cncnc1,Co,2.19342,1.13446,2.18741,nonporous,0.2082692058431147,0.14035087719298245,0.0005834162731400224,79.16909167706957,55
OCUGEZ01,OC(=O)CCCCC(=O)O,Nd,5.71474,4.18465,5.71474,medium pore,0.6452297301124903,0.8888888888888888,0.0020293790030632137,22.5188865462364,90
OCUMOR,OC(=O)c1cc(C(=O)O)c(c(c1)N(=O)=O)c1c(cc(cc1N(=O)=O)C(=O)O)C(=O)O,Mn,4.37729,3.06157,4.37729,small pore,0.6845252753245155,0.08350730688935282,3.7139052759108265e-05,33.40722090471342,225
OCUNAE,OC(=O)c1cc(C(=O)O)c(c(c1)N(=O)=O)c1c(cc(cc1N(=O)=O)C(=O)O)C(=O)O,Mn,4.63478,2.78245,4.54646,small pore,0.29553040044953494,0.08350730688935282,3.7139052759108265e-05,33.40208879731806,225
OCUPOS,OP(=O)(CCCCP(=O)(O)O)O,V,4.20376,3.74463,4.18408,small pore,0.3991345842502881,1.0,0.0,15.99191609091598,382
OCUPUY,OP(=O)(CCCCCP(=O)(O)O)O,V,4.43737,4.04819,4.42568,medium pore,0.277289816002299,1.0,0.0,15.709801295629642,382
OCUQIO,OC=O,Cu,4.12457,2.35575,4.10997,nonporous,0.3993320965666953,1.0,0.0,66.93911074863675,46
OCUQIO01,OC=O,Cu,4.50133,2.4826,4.4956,small pore,0.31096293514619905,1.0,0.0,66.92761303489154,46
OCUQIO02,OC=O,Cu,4.17188,2.38872,4.16801,nonporous,0.39817915789317343,1.0,0.0,66.93939389556049,46
OCUTAI,OP(=O)(CCCP(=O)(O)O)O,V,4.43395,3.52882,4.43395,small pore,0.3998610449995269,1.0,0.0,16.428918529273368,382
ODAHIK,C(CCc1ccncc1)CCCc1ccncc1,Cu,5.35012,3.87788,5.35012,small pore,0.25432505229862523,0.05429864253393665,0.02690250925545043,10.84172907073248,56
ODAJIO,O[C@H]([C@H](C(=O)O)O)C(=O)O,Eu,1.86254,0.92258,1.7898,nonporous,0.0,1.0,0.0,0.997636805865787,700
ODEJOY01,CCCCC1(CCCC)c2cc(ccc2c2c1cc(cc2)C(=O)O)C(=O)O,Mn,3.34353,1.2314,3.30924,nonporous,0.287567340278071,0.006263048016701461,0.0,2.7405355896575934,225
ODELOZ,OP(=O)(CCP(=O)(O)O)O,V,2.45575,1.30641,2.45477,nonporous,0.4,1.0,0.0,15.550783955161586,382
