source,target,weight
VUSJUP,ATULOS,0.8240900297864403
MOXDOT,CEYPUT01,0.844373744544869
OWIZAW,OGOJAX,0.8812163990484202
UFOFUT,XAPNIN,0.9471698662734412
DOTSOV01,VIXPUP01,0.8872522494076179
GOXZIE,DOTSOV04,0.8057215382306862
NURFOX06,DADTOS08,0.9996790176850816
ANUGIA,MOBDIR,0.8244344811379692
OZAXUK,DOTSOV37,0.8329905146914217
PEVPUD,VANHEA,0.8216331101841003
ZEDVOV,GEDRAK,0.832374595119177
KIPYIU,LEDHIN,0.8084949615473196
OQIZUL,HUCBOX,0.8946240283604912
KUHNIM,VEHJUP,0.8325206332666376
VASYAS,NOLRIR,0.9241851643239628
COWRAJ,AXINAX01,0.8189760566842401
MITSAK,TULLIX,0.8307097100330986
VIXPUP02,HOYRAQ,0.826579369279827
OHAGOV01,YOZMOR,0.8568482329539459
EFAYIU,IFABIA01,0.806031053819301
DADTOS,JEDKIP,0.999978852547018
UMAQAC,JUKXIW01,0.8083484195190737
LUWZUZ,DIBQEM,0.8411386148300808
REZJIR04,NURFOX02,0.99962645431466
LAYXER,NAPSUV,0.8838090717730307
BIKNAN,RUBTAK03,0.8703867516153277
JUXZOT,PAKXIK,0.8018572356847211
LIDSEY,HUZJOC,0.8005460824588676
EBEXAM,IBEYEU,0.8282487917641482
BOLPAU,IDIXAU,0.811950452024516
YIMCUV,OGOJAX,0.8458656698655922
ESEQUO,UFUKUB01,0.8065254670351133
CUXPIV,EBEXEQ01,0.8037161901690181
NASROR,NUFCAU,0.8309774557019634
YAXBUV,WAMGUP,0.8442836362691478
BIJJOV,MIFGEP01,0.8230328062396248
VIXZUZ,VEGMOK04,0.8486493988068396
IMUTUG,OWIHIN,0.9439747448165928
WUHMOD,YEYRAY,0.8061417161113381
UVASAM01,FIJCUX,0.8528345797423978
XADCOW,TOVJUL,0.906462681495086
CAQKAJ01,SACMOA,0.8053120524562476
UVARUF,WAFKEU04,0.8534966914596694
EQUCUO,EQUCUO01,0.9999997243921216
FURSES,DOTSOV23,0.8329335614840946
RECHUE,NERVIP,0.8303390650753101
EZOFEF,BIKMEP,0.8322297369656539
DOTSOV20,POFFEX,0.8150446117038518
BEPREV02,UFATEA01,0.8602995771366007
DOTSOV39,DOTSOV25,0.9999998523716036
CUMLUT,OKOSUE,0.8462511457331273
HICNUF,EMIYUW,0.9159216327962094
PIJKIF,EBIHII,0.8834692520636216
UNABUH,DOTSOV26,0.8229937600089189
YUKTUU07,PADKIP18,0.99984824960032
YUKVUW03,RATDAS02,0.9981068082822232
WEMDAU,VIYHUI,0.9021884660591698
DOTSOV12,KEJKES,0.810355275960118
VEDFER,ODIZOQ01,0.8102475173071657
QUJHIN,COXFOL,0.8534471953300585
NAGKEO,REGREC,0.9177804077641368
VOTHIX,JEDVIA,0.8665875646143372
FEXJUQ,EFEGOM,0.8147582721721953
GERWIL,MIBQAR07,0.803636650313656
CEKHUY,XAMDUM07,0.8738452537872297
XULNOJ,DUKMUT,0.8884596685463952
VACFOV,FIFGEI,0.946891644017873
FIQYOU,IZIDOM,0.9974785869246856
ODIXEG,XEZMEW,0.8081497134103037
UKAQED,XAWXOL,0.973266824268608
IMIDZB03,IMIDZB06,0.9999757466599596
LELMIA01,LELMIA02,0.999977916845594
VEHKAW,YIBMON01,0.8870865950400765
MNFORD05,PADKIP32,0.9999977013989436
PIDJEU,HUCXOU,0.8330481429322014
TEJBUI,HIBTEU,0.8270328268125233
VIXPUP01,LASYOU,0.8447854111542227
UTEMAJ,VALXOY,0.856311378667659
OFOJAX,RUBTAK01,0.9093812264263524
DOTSOV32,YIMQIX,0.8032603084438108
TALKAT,FITSAD,0.8122757500380378
YIHZIA01,RUXWEM,0.8025901790677631
XEZMOG,JUQSIZ,0.8085266120316534
EDAJUP,CEYPUT,0.8065695609376289
NAXVOY01,LICSEW01,0.9973275075542072
WUNSII,OKIYIR,0.9999919924041148
OKITIM01,OKIYAJ01,0.9999998572740708
VOYWUB,DODMIT,0.8574246194397888
ODOXEK,AJIJEI01,0.9200831151851288
NODTOR,MIQLII,0.8743566898382416
PORVID,DOTSOV16,0.8262981911065701
QOWRAV06,EDOSEY,0.8572107761470189
DITJOH,XULGIW,0.8083559125665424
SEMNIJ,XAMDUM07,0.8396133242443276
PIKYAM,UMABIV,0.8143509475423909
RAMSUT,AFIPUB,0.995343758188746
KEJWAY,CEYPUT01,0.9993302249764976
OHOMIH,ELERIY,0.8448015731337025
SESRUG,BODPAN,0.8110113933453449
RUWXAJ,APAYUN,0.8495050715238484
QAWHIH,DOTSOV03,0.9987428284901696
XEDMEB,KAKTIA,0.8230172141609922
NIMVOW,MITSUE,0.8052312860967001
DOTSOV28,UKALAV,0.8464097814274927
DOTSOV23,YOZMUX,0.9872691839536476
XUFYEE,NIJZIR,0.8419765203251528
BEDQUZ,MITSUE,0.8154055519336312
XAPSIS,OGUPIQ,0.919469116146378
BAHGUN04,AQIQEY,0.8499378556704725
VASYEW,AXINAX01,0.8639266418634598
JOPGOM,BIKMAL,0.8324246019267302
PAXNOU,IPAMER,0.919698576676253
FECYUJ,WORKUL,0.9992147034964654
LATFUI,SACHIP,0.8960546232815435
KERHAT01,BAZFUF01,0.8041772509973413
XAMDUM,YEKXOD,0.8055533681519084
DOTSOV32,NONWUJ,0.8640015835123583
NAJTEA,UCEXIK,0.8112493289074427
NODKUN,WAQZEW,0.8331954686898301
RUHCED,TAKTOR,0.8353932675805186
VIXZUZ,PEVQOY,0.8519341333107509
AFUPEX,LOLREL,0.9360120095403848
YEKYAQ,LUDLED,0.8061808847859275
TOWNUQ,VAGVAC,0.8610928522581637
IDIWOH01,JUMCOL,0.9999993861288978
DOTSOV37,PIDRAY,0.9012493442654804
YOZNEI,XIJSUH,0.9075267626636812
YIKGEF,MITSAK,0.872242746063681
BIKMAL,JEDVUM,0.8280306693317299
PUGSER,HOGJIX,0.8018393472148839
WUPTUY,SURHEU02,0.9045603390244707
FUTZEB,MIBQAR12,0.872383867116911
RUXWEM01,WAHQON,0.8302425181683628
DOTSOV25,UVEVUN,0.8454984612785292
SENSEM,UXISUR,0.8391485358689277
XISDOU,EBEWIT,0.8394175239082862
NUQWAZ,DADTOS07,0.9995460080953268
EDOWIG,PEVQIS,0.9975137021789938
DOTSOV34,ENIHUG01,0.8383909534188554
IFABIA03,WUMLIB,0.8109644281555686
SETQUF,BAZBIQ,0.8289589068506503
PEVPUD,JUJNAF,0.8840821223904646
VUQKAU,LUSHOX,0.9470045869214866
HIXWIU01,BIRGAM,0.9999993882444344
VIKRIT,RIBSED,0.8858170189186527
OLUGUZ,QAWHIH01,0.852614142947828
WOBHIF02,FABFOF,0.8726300231609532
NIKYOW01,IZAKEB,0.9999578707097622
IFABIA03,RUPVAB,0.8669877147482675
MIBQAR11,XENMIO,0.8579350123318951
WEYQAU01,BEWSUU,0.8149562738108534
MIFQIE,NEDLOZ,0.9087298684426022
WOPSOL,SIYXIH10,0.8125805018632111
HAJDII,SAQQAD,0.8651477828727903
AQEQIW,VEHKAW,0.8332830786862961
ECOJIP,HINBUC,0.8421035505868772
YIMCEF,LACNUB,0.8119977541375827
DEMNOB,EXOXUL,0.8574003495258369
MIBQAR19,IQAGEN,0.8210569911057622
ODIXEG,WUMDIT,0.8085178669503622
NEBTAS,QISNIR,0.8121213952745004
HOLRAD,MIBQAR11,0.9999975367696516
SAMVEK,EKEXIC,0.8740979302181405
EDUVOO,ODUNEH,0.8028979390104654
MISRUC,VIXZUZ,0.8522619383609021
AZAVUU,DOTSOV08,0.8139485366531072
DOTSOV25,QOWRAV08,0.8338607818839054
ESURER02,JEDVUM,0.8055209076003775
TAZSAP01,PACZUQ,0.8559869346620739
DOTSOV03,FOPFAS,0.8759270800089519
MOFTIL,VOLQUJ,0.8086741276472293
DOTSOV12,TEKYOA,0.861089741276553
JUNBOL,OKOSUE,0.8124949308970896
SENSEM,TISPAO,0.8382808300910303
HIZQOX,MINBEQ,0.9195793214811706
GAWZOW,XISXEE,0.8079301907215136
HAPNOE,ETEKEU,0.8447677539262204
UMODEH21,UMODEH10,0.9963658705231148
KEJKAO,HOKKOJ,0.815637464813237
CAQJOW,CIPLIX,0.8008706558192735
PIWLIT,PURJIW,0.813290010008447
DADTUY10,COFORM,0.9998169289148168
XAYLER,NEFTOJ,0.8111167058554953
DOTSOV30,NONWUJ,0.8640010740331102
UMAQAC,MIFGEP01,0.8135852857677541
WUHNUK,XAPNIN,0.8037344806961082
TUWFIC,NASROR,0.8768868055850566
YUNBOZ,RUDRUE,0.8128844772215211
DOTSOV38,DOTSOV01,0.9999999968654444
LIDSIC,HISJIE,0.8021699173720771
YENZEZ,SEHSII,0.9065946623398128
ABEMIF,OPIXUI,0.8463081656476892
MGFORD02,AMURUX,0.9999748097313595
PEVQIS,UWAGAB01,0.8741727109680448
WURNOO,KIJRUS,0.8834324804779906
WIMWIA,TEQVES,0.8318108143269709
QUNXEE,LUWKEV,0.8333275126798824
ANUGEW,SENSAI,0.8094889426534134
XAMDUM02,LUSZUV,0.8929204891564178
MACHIJ,VUSJUP,0.8447269276878492
QIZLIW,DOTSOV42,0.9989766865902984
ZAWTUO,XOHLEM,0.8149261787477412
HIBTEU,DOTSOV02,0.8382223804257523
YAYQOH,KETHEY01,0.8417690779154566
JUYBAI,VASYAS,0.8352020766892648
LUKLIN,WULJUJ,0.839367514819332
BIPXIK,DIDBID,0.9227908152548222
RINPEJ,EZULAO,0.8067212667351669
GAXKUN,WUHMOD,0.8084371996085928
CUXFIL,WEYQAU09,0.8372489527192434
NASGEV,PEPHID,0.8002184207259742
PUGSER,UWAGAB03,0.8645255249191061
IQOKAC,IVEMIH,0.8429367907153636
EBUREA,WEYQAU10,0.8606682614337359
PEKGAO,OVIHOR03,0.8607444568957442
BUCWAZ,PEXTUI,0.8460795379042418
LIVTAN,NUBBAP,0.806026325670287
TEQVIW,TEYHIR,0.8384614511341701
FILYAC,XEVSIB01,0.8361467397726786
XALDAS,GISMAY,0.816085619844754
JAXNUU,PEBNER,0.9979163754996392
NIRZAQ,UFAMIA,0.8342333061270568
ECODEG,FUFRII,0.8098260587060834
SERKAC,NELRAY,0.8040383565896203
ZAVQIY,YENZAV,0.8484664506438595
EXOGAB,GENCEK,0.8532266521588736
JUJNAF,IGUFOH,0.8485734052597294
AVIPAX,WAMRIN01,0.8204071962376502
NUTQAV,QAWHIH01,0.9082144287970018
XIHSAJ,XUDVAV,0.8239972994026759
QUSWIK,ROZXEL,0.9986525626400756
PUSXIL,OFUYUL,0.8352716694503904
FOKWUZ,FENHIS,0.8098457642740371
POSGOV,LAWGOG,0.8309911613825491
XAYKUG,OLUGUZ,0.8097478946686916
TATPOV,TONQOD,0.8759608044130177
EXOYAS,DICKEH,0.8174427932127865
FUVDEH10,IFEPUG03,0.9999994308733108
UMODEH10,UMUBEL,0.9960128418585508
UXISUR,RAHBOU,0.8969534558108013
RASKON,AVIPAX,0.8334799800434156
TONQOD,KAKNEQ,0.8857245759736818
XAPFOM,RUBTAK08,0.884807933343066
AXINAX01,BAKJEE,0.843817174718495
GUPJEG,FUTCAZ,0.8095374055123057
VEDFER,POSGUB,0.8031771298777794
VIDVUB,OKOSUE,0.8057310435286449
GIKMOD03,ONIXOZ,0.8438216865394788
MOXDOT,SEQSOY,0.885710330275822
IGAHED03,WIYZOU,0.8934783375278641
CIMFUB,NIFNOI,0.8074289426222608
EXUSUN,SEHXIN,0.8613151501194226
YIHZIA02,TOKDON,0.8051537628541255
XAPNIN,PUGSER,0.8867277257194333
BUHFER,DITYEM02,0.9955165496171564
KAGJOS,OJOQAF03,0.8616113129833215
DOTSOV31,TOVWAE,0.8605275455238275
NOZZUZ,EVUDAA,0.8258986986834054
UKUPEX,VUQKAU02,0.8097239823946639
YIMQOD,EMUBOF,0.8318483705921271
ODODUI,VAZTUM,0.9072928910283882
DOJTON,VOZVUD,0.9983101862966628
XACLOF,NIHBEM02,0.9973278402001928
SARGUP,MIHWAE,0.9999999048741858
DITTEH,VEHKIE,0.8767019025722651
OXOLAP,XUBGUY,0.8293035981115089
NANYUX02,FIWKUT,0.9922354862093936
AWEJES,WAFKEU04,0.88708409908676
JEDKIP,MNFORD02,0.9999742801322484
FUTYEA,AVETUS02,0.8463665221823087
QOWLEU,SATNOR,0.9987277662106352
OGEBAF01,DEKBON,0.8249389499574659
JOQQAJ,XAMGUQ,0.908217073235034
FAJGUV,COKJIX,0.8013851906991898
LUDLED,YOZPAG,0.9999821797295868
OMUMEQ,IXISOZ02,0.90438732251255
RIWXAX01,JODWOP,0.9988146806160664
KEFBOO,DUNXUH13,0.817882627615499
RUPVAB,SUVMAZ,0.9144404443766024
DORNAB,DOTSOV34,0.8156158432354217
LUSHOX04,IVEMAZ,0.8849673808551937
NERVIP,XADDUD,0.8263822207785241
WEVYON,HABZEQ,0.8658777853634365
TEYLUH,HOSPEL,0.8060867961878947
PUWDEQ,GAZBUH,0.8840048568872491
POKZIA,ACIBOE,0.8023995729237783
IZEWAN,CIZQOT,0.8064680785417088
GADROU,PEVQIS,0.8681331995185171
UMOBEF,YUSWEP,0.8133022321003676
GIKMOD08,FIQCEN,0.8925040608613904
BEXREC,MAKROG,0.9991993037331144
LIZKUB,VACFOV01,0.8111959193350582
FUTCAZ,MEFZUU,0.8098027726238004
HOZXEB,FIBJAE,0.99352168679824
DIJCOP01,EBIMIN,0.8052829334822762
UMODEH,UMUBEL,0.999982454823516
EHUSUX,DOTSOV20,0.8611285714802922
IZETUE,IZEVOA,0.9992903079783422
BOJYIK,NILCES,0.833113201129997
SESRUG,DOTSOV03,0.810888034064481
LASMUP,VEHKIE,0.8579029096878749
PEVPUD,FERCOX,0.887169383314791
CILLAL,XAMDUM06,0.8109029480836542
XILTUK,GAZBUH,0.8178494401758158
ERARUM,SELKUS,0.8046077711470867
EHUSUX,DOTSOV27,0.8611261209442406
PIWLAL,IFABIA03,0.9461670399421036
CANROA,VACKUI,0.8068731518259082
TEHWEK,SEVWEY,0.8149312133374823
NUCPEI,UFOFUT,0.8785322602652257
OWIJEL,UFIYIR,0.8278016442426341
NIHBEM02,NUDPAE07,0.9984911954402852
GIWFUP01,DUVNIS,0.8289245933899496
DURDEB,MIBQAR,0.8400778470489351
PERROW,VEHKAW,0.803194403175186
DUVNIS,RAKBIO,0.8149260447699278
DUWBEE,SIVWUR,0.8035492976355703
DOTSOV11,UXOHOG,0.8375083326471577
XAMDUM,SEMNIJ,0.8395932400119679
AJAKON,GAXKUN,0.806573565679395
XAMDUM01,XITYOP,0.8576190782827824
UFUMUD01,YOZNAE,0.8113706446124468
JODFEP,VEDGIW,0.8926649537491426
VUSKEA,YOZYUJ,0.8296256054092933
MOFGOE,DOTSOV25,0.8963119662609615
WOYJIF,QIZLOC,0.8600002363638741
VAKREG,RIDDUE,0.8044484032692847
PIDMEV01,LAWGOG,0.9073973786007224
ODOXEK,MITTAL,0.9991376371381367
LOZSUQ,XISDIO,0.8326911949925225
DIBZEU,WUZKOS,0.8270116515400354
ENITIF,FAPYOM,0.8003354086044607
FEXCAO01,KOHLIE,0.8047075714463175
YOZNAE,POFFEX,0.8150314019823846
XIYCUG,MIKVEK,0.8337171156427514
UKOLUD,XAPNIN,0.8691354235513487
MUXVIM,EKUNON02,0.8415581904919094
ATIKAP,EBEWIT,0.8677757890977965
CANROA,JOQQAJ,0.907846252308884
VIKRUF,RUBTAK01,0.8779443416193757
YOZNUY,UFUNAK,0.8072500432110498
NODTOR,YEKHUU,0.8077290534176196
UBUMAH,MIQLEE,0.8610636658799953
MIMRAB,ZARLEL,0.8134971625116774
DIHVIB01,SEMNEF,0.8462695482471269
QIYDIN,BAZGAM,0.8319974332392877
XAMDUM03,LUTBEI,0.8928569848615873
YIBMON01,WUPZOY,0.8384436267290579
