source,target,weight
FENVOL,FUTYOK,0.8872980733761306
IMUTUG,IMUVES,0.999959678672884
ODOXEK,MITSAK,0.9999999069802648
ODOXEK,MITSUE,0.9999997494543128
ODOXEK,FUMJAA,0.999966918402946
ODOXEK,CEHKUW,0.9993433523459074
ODOXEK,SIZGEO,0.9992179236338352
ODOXEK,FESYEK,0.9082467093092608
ODOXEK,LIQFEY,0.9077417265125776
FALGIK,POSGEL,0.8470694894635115
FALGIK,RUXWEM03,0.998332904430108
FALGIK,PIKYIU,0.9526945295626328
FALGIK,DAPYAW,0.9519939359393456
FALGIK,VAKLIF,0.9471289047953751
FALGIK,XEFGUN01,0.9451126362476538
FALGIK,GOYLUB,0.9435692752892264
FALGIK,QEKLID,0.9327862194685064
FALGIK,DELGIN,0.9319882056176552
FALGIK,IGUVIR,0.921454217422402
FALGIK,NOLRIR,0.9211019415762148
FALGIK,ECIWIW,0.9203436216957362
DOTSOV39,DOTSOV37,0.9999999846634474
DOTSOV01,DOTSOV33,0.9999999974739002
NUDPAE02,NUDPAE01,0.9999999965940184
NUDPAE02,NUDNUW09,0.9995120720243726
NUDPAE02,PESTAL,0.9994928076359796
NUDPAE02,NIHBEM01,0.9989578511692516
AMIXOK,WAYKAK,0.945472515458852
DOTSOV26,DOTSOV38,0.999999999260666
DOTSOV26,DOTSOV32,0.9999999999453262
JETZAK,NOCKOG,0.9442498561082848
ELILIV,LOLREL,0.8227403514541815
DOTSOV04,DOTSOV05,0.9999999997628496
YUKTUU07,YUKTUU05,0.9999998902947838
YUKTUU07,JEDKIP,0.999999592510444
NIWYOJ,PEJNOJ,0.9998512913343236
NIWYOJ,FUTYOK,0.9999857111162964
NIWYOJ,REGREC,0.9997278110531698
NIWYOJ,NIWYID,0.9993513289218556
NIWYOJ,QUQFIS,0.9328642620890304
NIWYOJ,JOVYAW,0.9082390577609548
EBAMUS,DOTSOV07,0.9999308847937758
EBAMUS,XAMDUM02,0.9999295468282908
EBAMUS,LUDLIH,0.9998693430985164
EBAMUS,DOTSOV14,0.9998483421819596
EBAMUS,XAMDUM05,0.9998482776475874
EBAMUS,DOTSOV13,0.9998460381549322
EBAMUS,DOTSOV11,0.999846022856379
EBAMUS,DOTSOV15,0.9998458851194866
EBAMUS,DOTSOV10,0.9998458843052284
EBAMUS,DOTSOV08,0.9998457396489916
EBAMUS,DOTSOV16,0.9998457380668668
EBAMUS,XAMDUM03,0.9998399373365991
EBAMUS,XAMDUM01,0.9998332782595692
EBAMUS,DIHVIB01,0.9998311478848888
EBAMUS,RILFEA,0.9998310715738352
EBAMUS,YOZMEH,0.9998283955018568
EBAMUS,XAMDUM,0.99982835776886
EBAMUS,FIQCEN,0.999827092922857
EBAMUS,YOZMIL,0.9998270017211652
EBAMUS,YOZNEI,0.9998267616341224
EBAMUS,XAMDUM06,0.9998238665216737
EBAMUS,YOZNIM,0.9998229336504504
EBAMUS,YOZMOR,0.9998174719047156
EBAMUS,XAMDUM07,0.9998162526609904
EBAMUS,DIHVIB,0.9997966189065376
EBAMUS,YOZPAG,0.9997649652746136
