source,target,weight
HANWAW,LAYXER,0.8422973177588691
OQOXAV,ULUVUT,0.9998083893807994
IXAJUN,DOTSOV40,0.8583722637851479
SIWPUL02,PADKIP05,0.9999774645636474
LUDLED,PUPJER,0.8457463378266774
IGUVIR,FUFRII,0.8179392849999811
SUZXES,XEVSIB01,0.8017679747289402
UPIBOM,PAQMAY,0.8333039533374279
FIXLAC,VEDGAO,0.8149674598775015
PADKIP31,DADTOS13,0.9997064775488947
DAGTUD,ASEJOZ,0.8329520629682219
YUYGOQ,JUNBUR,0.8051404284953454
BUNKUS,WIZMAV12,0.9487184766391528
FIQDER,AZIHOI,0.8125785987173734
XISDIO,DAKZUN,0.9988139382649284
XISDUA,IXITOA02,0.9058774098195814
SUXWIT,CUKXEN,0.8150601071594396
ZECCAO,NIGFOZ,0.8799725431652818
YANWOC,SIWPUL07,0.999683556747798
PEVQEO,WUDXAV,0.862875486097928
TEKYOA,IWEVAJ,0.8019724788536023
FAGXOD,LITDAV,0.8010900362478828
VAZTOG,TEYHIR,0.8276365614622525
ANUGOG,KUKMUA,0.8000417202786199
DADTOS18,REZJIR02,0.9999652812457308
MIBQAR10,OVICUS,0.825835948378093
UFOSEQ,UFORIT,0.8778832939533837
NUBBAP,GUDCIT01,0.8328156355749505
PEXTUI,GIZNOT,0.8735153299153373
BAHGUN02,IXAKAU,0.8025189541707117
NUDNUW09,NUDPAE,0.999510534004827
AVUCEA,FILYAC,0.8951659608511343
XAYKOA,DOTSOV15,0.8293140636596489
NEBTAS,ZASJAG,0.848020295539231
RUBTAK03,NEVLAE,0.8395720425446362
ENITAX,UXISUR,0.8047284819844153
PEJNOJ,HOLQUW,0.8699898100407115
TEVVAU,PINPAG,0.849291929054758
MOXDIN,XAVQIU,0.870926573953628
TICQAA,DOTSOV11,0.8215874036224469
TAYZUQ04,HEWPIJ01,0.999999536837288
FEJFAE,IVEMIH,0.9987994930790072
VAGMEX,PEVQEO,0.8733088827345821
HUCBOX,YOZMIL,0.8969983157892945
PICTIG,XEGXAL,0.8675334424947768
NOMPIQ01,JOQQAJ,0.8593836679039905
LAVTEJ,YURKAY,0.8008635697269546
XAMDUM07,XITYOP,0.8574504444831355
HIZQEN01,ULOGIL,0.8641060213371553
XAMDUM01,DOTSOV16,0.99995029818333
RAHNOF,DOTSOV42,0.8435380967326522
